,title,text,book_title
0,Ivanhoe: Summary,"Chapter I
	The story is set in England in the twelfth century, towards the end of the reign of Richard I. Richard is absent from the country. He has been imprisoned in Austria on his return from the Crusades in the Holy Land. In his absence, the nobles have established a tyranny, and the lower classes suffer under it. This situation arose as a result of the Norman Conquest of England in 1066. Although four generations have passed since then, there is still hostility between the Normans, who were originally from France, and the conquered population of Anglo-Saxons.
	It is an early evening in summer in a forest in the area of northern England known as the West Riding of Yorkshire. Gurth, the swine-herd, is talking to Wamba, the jester. Both are in the employ of Cedric of Rotherwood, a Saxon noble. Gurth appeals to Wamba to help him round up the herd, but Wamba is reluctant. Wamba then makes a series of pointed jokes at the expense of the Normans, whom they both dislike. Gurth then complains that the Normans take the best of everything, although Cedric has been valiant in the preservation of Saxon rights. But he fears the imminent visit of a Norman noble, Reginald Front-de-Boeuf.
	Chapter II
	A group of ten horsemen overtake Wamba and Gurth on the road. The two most important men in this group are an easy-going, generous-minded monk, Prior Aymer of Jorvaulx, and a stern knight of the order of the Knights Templar, Brian de Bois-Guilbert, who has been fighting in the Holy Land. The other men are their attendants. The prior and the knight ask Gurth and Wamba the way to Cedric the Saxon’s home, where they desire to stay the night. Gurth is reluctant to give these Normans directions to his master’s dwelling, and he quarrels with the knight. The prior intervenes to keep the peace. Then Wamba gives the men the wrong directions. But when the men reach the place called Sunken Cross, where Wamba told them to turn left, they cannot remember what the directions were. They stop a stranger, who says he is also going to Cedric’s. The stranger, who says he is a palmer (pilgrim) just returned from the Holy Land, then leads them in the right direction until they arrive at Cedric’s mansion.
	Chapter III
	In Cedric’s mansion, the hall is prepared for the evening meal. Cedric sits at his table on a raised dais, waiting for the dinner, which has been delayed, to be served. Several servants stand behind him, and his dogs are at his feet. Cedric is anxious because Gurth has not returned with the herd, and he fears that some misfortune has befallen them, although he is more worried about the herd (which is valuable) than about Gurth. He is also impatient for his favorite clown, Wamba. When Oswald, his cup-bearer, says that Gurth is not that late, since the curfew bell only tolled an hour ago, Cedric is put in an even worse temper. This is because the curfew is a Norman imposition. Cedric rants about all the injustices that accompany Norman rule, and he also mentions his son that he banished. Then the sound of the Knight Templar’s horn outside interrupts him. Cedric is none too pleased to hear who the visitors are, because both are Normans, but he wishes to show hospitality nonetheless. The guests are shown in.
	Chapter IV
	Cedric greets his hosts with dignity, although there is some tension between the Saxon Cedric and his Norman guests. Wamba and Gurth return, to Cedric’s complaints about how tardy they are. The feast is a fine one, and the diners are joined by Cedric’s beautiful young ward, the Lady Rowena. Brian de Bois-Guilbert, the Knight Templar, is captivated by her and stares at her, which displeases both Rowena and Cedric. In the discussion over dinner, it transpires that the Knight and Prior are on their way to a tournament at Ashby-de-la-Zouche. Another stranger arrives at the gate, and Cedric authorizes his page to allow him to stay the night.
The opening chapters introduce a number of the themes of the novel and show the situations of many of the main characters. Chapter I makes is clear how divided the country is between Normans and Saxons, and how the Norman nobles have established a tyranny. In this theme the author, Sir Walter Scott, is not being true to history. Scholars of the period agree that any hostility between Norman and Saxon did not last for four generations after the Norman Conquest. In those days, people were more conscious of divisions of rank than of national origin. Scott’s picture of Saxons and Normans in fact represents more the typical nineteenth century view of the good-hearted, rough-and-ready English and the foppish, pretentious French. Hostility between England and France was a habit acquired over several centuries of frequent wars between the two countries. (The war in which the English defeated Napoleon was fresh in the minds of the first readers of Ivanhoe, which was published only a few years after Napoleon’s final defeat.)
	The lines of conflict that are to dominate the novel are clearly drawn in the opening chapters. Cedric’s disinheritance of his son is mentioned, and this father-son drama will become an important element in the plot. Lady Rowena is introduced, and as a beautiful young unmarried woman she is clearly going to be the subject of a romantic plot, although De Bois-Guilbert’s early interest in her does prove to be something of a red herring.
	The Norman villain of the novel is also introduced in these early chapters. De Bois-Guilbert is presented as an arrogant, quarrelsome knight, as his treatment of Gurth in Chapter II shows. His susceptibility to women, later to become one of the main plot elements, is also shown. It runs counter to the vow of chastity he took as a member of the Knight Templar Order.
	Just as the representatives of medieval chivalry do not emerge as admirable characters, neither do the representatives of the medieval church. One such representative is introduced in these chapters. The initial description of the Prior tells its own tale. His clothes are much finer than the rules of his Cistercian order permit—a sign of his hypocrisy. The fact that he is overweight, not to mention the twinkle in his eye, indicates that he enjoys the pleasures of eating and drinking.
",Ivanhoe
1,Crito: Novel Summary: Chapter 1,"In 399 B.C., Athens sought someone to blame for its humiliating defeat in the Peloponnesian War with Sparta and its allies. This scapegoat, through default more than anything, became Socrates, the legendary Athenian philosopher. Since Socrates often questioned the intentions of Athens' politicians, he was blamed for attempting to ruin Athens through slander of its leaders and religious tradition.
	Socrates defends his actions in The Apology, and defends his decision to carry out his conviction in Crito. When the court suggests to Socrates that he will be acquitted if he agrees to stop practicing philosophy, he responds by saying, ""Athenians, I hold you in the highest regard and love; but I will obey God rather than you: and as long as I have breath and strength I will not cease from philosophy, and from exhorting you, and declaring the truth to every one of you whom I meet.Either acquit me, or do not acquit me, but be sure that I shall not alter my way of life; no, not if I have to die for it many times.""
	Crito takes place later, after Socrates is condemned to death and sitting in jail. At this time, Socrates has many followers who hope he will agree to escape. When Crito, a friend of the philosopher, comes to advocate this position, Socrates logically refutes his argument.",Crito
2,NovelGuide: Crito: Novel Summary: Chapter 2,"Crito enters the cell, depressed himself at the prospect of Socrates' unjust death. Socrates asserts that a man of his age is lucky to have lived so long, and that his mandated death has not cut short his life. Next, Crito grudgingly tells Socrates that the ship from Delos is approaching, marking the end of an annual Athenian celebration that prohibits political executions for the several weeks of its duration.
	Socrates seems resigned to his fated death, but Crito attempts to persuade him to allow his friends to help him escape prison and flee Athens. If this doesn't happen, Crito says, others will criticize Socrates' disciples for not rescuing their leader from this unfair sentence. Yet Socrates asserts that following popular opinion instead of the gods' will is not right. Soon Crito becomes more desperate, hoping to encourage Socrates with his elaborate and carefully designed plan for escape. He further suggests to Socrates that unless he agrees to escape, he will be letting his sons, who still need to be properly educated by their father, down.
	Socrates responds by inviting Crito into a classic Socratic dialogue, in which Socrates asks a series of questions in efforts to eventually prove Crito's logic faulty. He begins by convincing Crito that the advice of one ""expert"" individual, namely God, should be heeded much more than the advice of countless ignorant people, namely Athens' as a whole. In this way, he proves to Crito that popular opinion is irrelevant.
	Next, Socrates makes the point that it is always better to do right than wrong, no matter what the circumstances. It then follows that although the jurors who condemned Socrates have wronged him, it would still be wrong to violate the laws by escaping. Socrates continues by stating that he doesn't believe in doing wrong to others as a means of retaliation. Crito, helpless in Socrates' logic, quickly agrees with all of this.
",Crito
3,NovelGuide: Crito: Novel Summary: Chapter 3,"In this part of the dialogue, Socrates gets to the core of his argument. He asserts that when he agreed to citizenship, he agreed to an unofficial contract with the city of Athens. Socrates says that Athens has married his parents, raised him, and educated him and his children. In return, Socrates has agreed to abide by the city's laws and constitution. In this way, Socrates believes that if he were to escape death, as Crito recommends, he would be breaking the sacred covenant he holds with Athens. The philosopher believes that since he was unable to persuade the jurors in his trial, he now must accept their sentence. Violence, he says, will undermine the very laws that gave him life.
	Speaking in the voice of the law, Socrates supports his premise, saying, ""And we maintain that anyone who disobeys is guilty of doing wrong on three separate counts: first because we are his parent. And secondly because we are his guardians, and thirdly because, after promising obedience, he is neither obeying us nor persuading us to change our decision if we are at fault in any way.""
	Socrates asserts, ""integrity, institutions and laws, are the most precious possessions of mankind."" His last point concerns the jury's decision to condemn him. Socrates believes that though his fellow citizens, the jurors, came to the wrong decision in his trial, it is not his place to avenge their flawed logic. Though people make mistakes, Socrates thinks, the system works. In this way, Socrates dies as a martyr, not for himself, but for his city and its system of justice.
",Crito
4,Henry VIII: Summary: The Prologue,"
	The Prologue enters and explains that he is not here to make the audience laugh, but to tell of serious and noble matters that will awaken their pity. Those who want a bawdy comedy will be disappointed. The Prologue asks the audience to imagine that the characters are alive, as the play will present only the truth. Though the characters occupy positions of power, the play will show how ""mightiness meets misery.""",Henry VIII
5,Henry VIII: Novel Summary: Act 1 Scene 1,"
	 
Summary
	The play opens in a room at the court of King Henry VIII, in London. The Duke of Norfolk meets the Duke of Buckingham and Lord Abergavenny. Buckingham asks Norfolk how he has been since they last met in France. Norfolk replies that he is well, and still admires what he saw there. They had accompanied the king to a great display of wealth and military prowess by England and France, which took place in a field in France. Norfolk describes the impressive scene to Buckingham, who had missed everything through illness.
	Buckingham asks who organized the event, and Norfolk says it was Cardinal Wolsey, the king's chief advisor. Buckingham voices his contempt and dislike for Wolsey as an ambitious, meddling self-seeker, and condemns the event in France as ""vanities."" Norfolk is more conciliatory, pointing out that Wolsey lacks the example lent by noble ancestors and experienced assistants; he is a self-made man and has only his own resources to rely on.
	Abergavenny joins in with Buckingham's condemnation of Wolsey, criticising his pride, which he says is ""from hell."" Buckingham adds that Wolsey did not seek the king's permission when deciding who should go to France. Wolsey made the nobles pay for the event, yet he gave least honor to those who paid most. Abergavenny confirms that several of his relatives funded the event by selling part of their estates, which would never recover. Buckingham says the event resulted only in a massive waste of money and empty talk. Norfolk agrees that the peace between England and France does not justify such a cost. In any case, France has broken the agreement by seizing British merchants' goods at Bordeaux. But he warns Buckingham to be careful, since Wolsey is a powerful and vengeful man.
	They are interrupted by the arrival of Wolsey with his guards and secretaries. Wolsey and Buckingham glare at each other. Wolsey asks a secretary if Buckingham's former Surveyor (estate overseer), who has come to give evidence against him, has arrived. The secretary says he has, and Wolsey leaves with his party.
	Buckingham fears that Wolsey is plotting against him. He thinks he is on his way to the king to stir up trouble for him, and decides to follow him. But Norfolk warns Buckingham against this, advising him to calm down and show restraint. Buckingham takes his advice, though he says he has proof that Wolsey is corrupt and treasonous. Norfolk is shocked by the accusation of treason, but Buckingham insists that he will say as much to the king, and provide proof. Buckingham enumerates Wolsey's faults: he is greedy, cunning, and given to mischief; he organized the French event simply to show off his high status in France as well as England; and he drew up the France-England treaty that was agreed there to suit his own ends. He also deals with Queen Katherine's nephew, Charles V, the Holy Roman Emperor and king of Spain, behind King Henry's back. Charles had been worried at the prospect of England forming an alliance with France, as it would threaten Spain's interests. Wolsey, says Buckingham, buys and sells the king's honor for his own advantage.
	At that moment, Brandon, the sergeant-at-arms, comes in with the Guard, and arrests Buckingham in the name of the king, on the charge of high treason. Buckingham is certain that Wolsey has arranged this. He says goodbye to Abergavenny, but Brandon says he has come to arrest him too, along with others among their friends. Buckingham says that Wolsey must have bribed the Surveyor to incriminate him. As the prisoners are taken to be locked up in the Tower of London, Buckingham believes his life is over.
	Analysis
	The Prologue sets the scene for the play, making clear that its purpose is to present historical truth and arouse pity for those powerful people who have fallen. The play covers some years of the reign of King Henry VIII up to the birth of his daughter, the future Queen Elizabeth I, by his second wife, Anne Boleyn.
	The first scene establishes the character of Wolsey as seen from the point of view of his enemy, Buckingham. We do not yet know how objectively true Buckingham's opinion is. Certain aspects of his tirade against Wolsey betray the prejudice of the noble (Buckingham) for the self-made humbly born man (Wolsey). Wolsey was reported to be the son of a butcher, so Buckingham calls him a ""butcher's cur"" (line 120) and invokes the traditional distinction of rank to ""cry down"" ""This Ipswich fellow's insolence"" (lines 137-8). His attitude reflects the widespread alarm among the nobility in Tudor times at the rise of a wealthy merchant middle-class and a more flexible class and education system that allowed low-class men like Wolsey to attain high office.
	However, Buckingham's accusations of ruthlessness and cunning are backed up by Wolsey's hostile attitude to him during his brief appearance, along with the arrrest of Buckingham at the end of the scene. It is significant too that at his arrest, Buckingham is accused of exactly the same crime of which he had previously accused Wolsey. The impression given is that Wolsey has both spied upon and plotted against Buckingham. Also striking is the fact that Buckingham claims he has proof of Wolsey's treason, yet Wolsey has as yet presented no evidence of Buckingham's treason - but Wolsey is nevertheless able to have Buckingham arrested for treason. This shows that the power lies with Wolsey, not with the likes of Buckingham and those nobly born friends of his who are also arrested.
	The Prologue had warned that the play would show us ""How soon this mightiness meets misery,"" or the fall of powerful people. Buckingham is the first to fall, through the intervention of Wolsey.
	The display of military achievement by the royal courts of France and England referred to in this scene is known to historians as the Field of the Cloth of Gold, after the rich materials of the tents set up to accommodate the royals and nobles who attended. The event took place in 1520 against the background of a triangular power struggle in Europe between the great powers of the time - France (ruled by King Francis I), Spain (ruled by Charles V, the Holy Roman Emperor, also the nephew of King Henry VIII's wife Katherine), and the newcomer, England. France and Spain vied with each other for an alliance with England to swing the balance of power in their favor. Wolsey favored an allliance with France, but Katherine favored an alliance with her home country of Spain. The Field of the Cloth of Gold, where King Henry VIII of England and King Francis I of France agreed in principle to an alliance, appeared to be a victory for Wolsey, but it was somewhat tainted and short-lived. The event severely strained the finances of both countries and the results were negligible. Shortly after, Henry met Charles V in England and signed a treaty with the Empire. Over the next few years, treaties between the three countries were signed and broken with wearisome regularity, with the result that no one power gained ascendancy.
",Henry VIII
6,Henry VIII: Novel Summary: Act 1 Scene 2,"
	 
Summary
	The king, leaning on Wolsey's shoulder, thanks him for foiling Buckingham's treasonous plot. He asks for Buckingham's Surveyor, who had testified against his master, to be brought before him so that he can hear his evidence.
	Queen Katherine enters, with the Dukes of Norfolk and Suffolk, and kneels before the king. The king greets her and bids her rise, but she insists on remaining on her knees, since she is going to make a request of him. She explains that she has been asked to intercede with the king by his subjects, who are upset at the levying of new taxes. The people especially blame Wolsey, who originated the taxes, but their anger is also directed at the king, who is ultimately responsible. She fears that rebellion will break out. Norfolk backs up her argument, saying that employers have had to lay off their employees in order to pay the taxes, creating a desperate class of unemployed and starving people.
	The king says he is unaware of the new tax. Katherine explains that each subject is being asked to pay one sixth of his worth to pay for the king's wars in France, and that this is turning formerly loyal subjects hostile. The king says he is unhappy about the tax. Wolsey protests that the tax was levied unanimously by the entire king's Council and approved by the judges; his was only ""a single voice"" in the decision. He says that we should not refrain from doing necessary actions out of fear of malicious critics. He adds that our best actions are often the most criticised, and our worst, the most praised. The king replies that things that are carefully thought out do not create fear in the people. Believing that the tax is far too harsh, he tells Wolsey to revoke it and send letters to each county issuing a free pardon for any man who has refused to pay. Wolsey passes this order on to his secretary, but tells him to start a rumor that it is at Wolsey's request that the king revoked the tax.
	Buckingham's former Surveyor comes in. Katherine tells the king that she regrets that he is displeased with Buckingham. The king praises Buckingham's noble qualities, but says that he has become corrupted. He asks the Surveyor to repeat his evidence so that Katherine can hear it. The Surveyor says that Buckingham told his son-in-law, Lord Abergavenny, that if the king died without a male heir, he himself would claim the throne. A friar, Nicholas Henton, had encouraged Buckingham to believe that he could be king.
	Katherine points out that Buckingham had fired the Surveyor when his tenants complained about him. She warns that the Surveyor could be giving false evidence to gain revenge on his former master. But the king asks the Surveyor to continue. The Surveyor vows that he is telling the truth. He goes on to say that Buckingham had said that if the king died, he (Buckingham) would have Wolsey and Sir Thomas Lovell executed in order to clear his path to the throne. The Surveyor also claims that Buckingham had told a story about his father, who had planned to kill Richard III to prevent him from usurping the throne, but had been foiled when he could not gain admittance to Richard. Buckingham, the Surveyor says, had vowed to outdo his father and kill King Henry VIII. The king is convinced that Buckingham is a traitor and orders that he be brought to trial immediately.
	Analysis
	By far the wisest character in this scene (arguably, in the whole play) is Queen Katherine. She has the ability to look beyond the surface of things and see their root causes. She warns the king of imminent rebellion if he does not repeal Wolsey's new tax. She also warns the king of the unreliability of the Surveyor's evidence against Buckingham, on the grounds that he might be motivated by a grudge against his former master, who had fired him.
	The king, while motivated by integrity and generosity, lacks his wife's insight. Though he takes Katherine's advice regarding the tax and repeals it, by his inattention, he allows Wolsey, who originated the tax, to continue to operate in pursuit of his own ends. This confirms Buckingham's charge in the previous scene that Wolsey has taken on some of the king's authority. The king also shows poor judgement in failing to listen to Katherine when she warns that the Surveyor may not be an impartial witness. Naively, he is more ready to trust Wolsey in his view of Buckingham as a traitor.
	The Surveyor's reference to Richard III refers to Shakespeare's play of that name. The play tells how Buckingham's father, also called the Duke of Buckingham, supported Richard in his struggle to be crowned king. He helped Richard get rid of those family members who stood between him and the throne. Eventually, Buckingham Senior had begun to doubt Richard and refused to carry out his order to murder two young princes who preceded Richard in line to the throne. When Richard became king, Buckingham Senior asked for the reward of land that Richard had promised him. Richard, however, suspected that he could no longer rely on Buckingham Senior's loyalty, and had him executed. In Henry VIII, the Surveyor says that Buckingham Junior was planning to go further than his father, and to kill King Henry.
",Henry VIII
7,Henry VIII: Novel Summary: Act 1 Scene 3 & 4,"
	 
Summary
	The Lord Chamberlain and Lord Sands are making fun of the odd fashions that have been brought back to the English court by nobles who went to France. Sir Thomas Lovell enters with the news that a proclamation has been issued at the court urging people to abandon the French fashions. The three men agree that this is a good idea.
	Lovell says that he is going to Wolsey's house for a lavish supper, and that the Lord Chamberlain and Sands are also invited. They agree that Wolsey is generous, and set out for Wolsey's house, St James's Palace.
	At St James's Palace, Sir Henry Guilford greets the guests on behalf of Wolsey. Among the guests is Anne Bullen (Boleyn), who will become King Henry's second wife. Sands flirts with Anne.
	Wolsey enters and sits on the chair of state. A group of strangers is shown in by a Servant. Their faces are covered with masks and they are pretending to be foreign shepherds, seemingly from France. In reality, this is the king and some of his courtiers in disguise. The strangers greet Wolsey. The Lord Chamberlain explains to him that they speak no English, but that they have heard impressive tales of Wolsey's party and could not fail to attend. Wolsey welcomes them.
	The disguised king meets Anne and is struck by her beauty. He dances with Anne, and the rest of his party dance with other ladies. After the dance ends, Wolsey asks the Lord Chamberlain to tell the strangers that there is one among them who is more worthy of his chair of state than he is himself. If that person would make himself known, he would surrender it to him. The Lord Chamberlain conveys this suggestion to the strangers and they reply, saying that there is such a person, and that Wolsey must guess which is he. Wolsey correctly identifies the king, who takes off his mask.
	The king compliments Wolsey on the large number of beautiful women present, warning that if he were not a churchman (and therefore, in theory, above reproach), he would judge him unfavorably. The king asks Wolsey the identity of the beautiful woman he just met, and Wolsey replies that it was Anne Bullen, daughter of Sir Thomas Bullen and lady-in-waiting to Queen Katherine. The king tells Anne that it was bad manners on his part to dance with her and not kiss her, which he does now. He is reluctant to part with her and orders the music to strike up for another dance.
	Analysis
	These scenes have two main functions, serving to show the almost royal status that Wolsey has built up for himself, and to introduce King Henry to his future wife and the future mother of Queen Elizabeth I, Anne Bullen.
	The two themes inter-relate because we later find out that Wolsey is scheming for Henry to marry the sister of the French king, in order to cement the alliance agreed at the Field of the Cloth of Gold. Thus, Wolsey does not support the marriage between Henry and Anne. In terms of the grand purpose of this play, which is to celebrate the birth of Queen Elizabeth I, Wolsey is on the 'wrong' side and so is doomed to fall. This is reinforced by the lengthy gibe at outlandish French fashions at the beginning of scene 3. Queen Elizabeth I always boasted that (unlike her half-sister, Mary I, the daughter of the Spanish Queen Katherine) she was thoroughly English-bred. Here, Shakespeare has the nobles put forward an anti-French and nationalistic point of view. However, it cannot be assumed that this was Shakespeare's own view, since most of his plays show a truly cosmopolitan fascination with the fashions, culture, geography and mores of continental Europe. Even in this scene from Henry VIII, the nobles' mockery of French fashions is good-natured and displays a detailed interest in, and knowledge of, the subject.
	It is implicit in these scenes that Wolsey, a churchman, has over-reached himself in status and has become unfittingly worldly. Churchmen (especially after Henry VIII made himself head of the Church of England, independent of the Catholic Church and the Pope, in 1535) were expected to be humble, abstemious and plain-living people, known for their wisdom and holiness. Shakespeare's Wolsey, on the other hand, is known primarily for throwing lavish parties with rich food, drink, dancing and beautiful women. Like the king, Wolsey lives in a palace, and also like the king (in Act 1, scene 2), he sits on a throne of state. The fact that we have already seen the king sitting on his throne, and now we have seen Wolsey sitting in his, plants a suggestion in our minds that Wolsey aspires to royal status. In a low-born ""butcher's cur,"" people of Shakespeare's time would have seen such raw ambition as a violation of the laws of nature - kings were determined by ancient royal bloodlines and appointed by God himself - as well as potentially treasonous. Significantly, at his party, Wolsey is careful to surrender his own chair of state to the king, but there is a foreshadowing of danger in the possibility that Wolsey will not recognise the disguised king.
	Shakespeare introduces subtle pointers to the inherent wrongness of the spiritual leader of a nation becoming famous for his worldly qualities and trappings. In Act 1, scene 3, line 60, Sands, talking of Wolsey's great wealth, notes that if he were mean with his hospitality, this would be ""a worse sin than ill doctrine."" The sin of a man of the church would indeed be ""ill doctrine"" - incorrect theological beliefs - but Wolsey has crossed over into being a rich man of the world, in which case the only sin he could be guilty of is meanness. In scene 4, Sands' suggestive banter about the attractive women present would suit the worldly atmosphere of the court, but would be inappropriate in the house of a deeply spiritual churchman - which Wolsey clearly is not. Wolsey's invitation to his guests to ""take their pleasures"" would almost fit in the mouth of a brothel-keeper.
	The most overt condemnation of Wolsey's lifestyle is the king's barbed comment, ""You are a churchman, or I'll tell you cardinal, / I should judge now most unhappily."" The genial surface meaning of the king's comment is that Wolsey's status as a churchman means that he is above reproach, even while he holds a party stuffed with beautiful women. The more threatening underlying meaning, of which the king may or may not be aware, is that Wolsey is not a true man of the church and deserves to be judged unfavorably for betraying his sacred office.
",Henry VIII
8,Henry VIII: Novel Summary: Act 2 Scene 1,"
	 
Summary
	Two Gentlemen meet in the street. The Second Gentleman is on his way to see the trial of the Duke of Buckingham. The First Gentleman says that he is too late: it is over. Buckingham pleaded not guilty and spoke eloquently in his defense, but he was found guilty of treason. Those who testified against him included his Surveyor; Sir Gilbert Perk, his chancellor (secretary); John Car, his confessor; and the friar, Nicholas Hopkins (earlier in the play called Henton), who encouraged Buckingham to believe he should be king.
	The Second Gentleman says that Wolsey is responsible for all this. Wolsey has also been sending nobles favored by the king to distant parts. The Second Gentleman says that the people's representatives in Parliament (""the commons"") hate Wolsey, and ""wish him ten faddom deep,"" that is, at the bottom of the sea. On the other hand, they adore Buckingham.
	They are interrupted by the entrance of Buckingham, surrounded by an armed guard and accompanied by Lovell, Vaux, Sands, and common people. Buckingham makes a speech, in which he swears his loyalty to the king and says he does not criticise the law, but ""those that sought it I could wish more Christians"" - a reference to Wolsey. He forgives them, but warns them not to indulge in mischief or use the deaths of more noblemen for their own ends. Lovell asks Buckingham to forgive him, which he does. Buckingham invokes blessings on the king and says he will pray for his long life.
	Vaux wants to make the barge that is to carry Buckingham to his execution fit for a Duke, but Buckingham refuses, saying that his high status is now meaningless. He criticises his ""base accusers,"" who ""never knew what truth meant."" He speaks of his father, who had loyally served Richard III but was betrayed by him. Richard had been succeeded by King Henry VII, who had restored the Buckingham family honors. But now Henry VII's son, Henry VIII, had taken everything from him once again. Buckingham counsels those present to be careful with their friendship and asks them to pray for him. Then he is led away.
	The two Gentlemen comment that if Buckingham is innocent, his accusers will suffer ""curses on their heads."" The Second Gentleman says that evil greater than this is already on the horizon. He has heard a rumor that the king plans to separate from Katherine. He says that Wolsey, out of malice to Katherine, has introduced doubts into the king's mind that threaten to ruin her. Cardinal Campeius, an envoy from the Pope, has arrived to discuss the matter.
	The First Gentleman says that Wolsey is doing this to avenge himself on the Holy Roman Emperor and Katherine's nephew, Charles V, for refusing to make him archbishop of Toledo. The two Gentlemen express sympathy for Katherine and leave to talk in private.
	Analysis
	It is not clear whether Buckingham is genuinely guilty of treason, but the trumped-up nature of his trial is evident from the dubious integrity of most of the witnesses against him. The Surveyor is his former employee, whom he fired and who therefore holds a grudge against him; Car, his confessor, is breaking the sacred trust of the confessional in testifying; and the friar, Hopkins/Henton, fed Buckingham with prophecies that he would be king and must therefore share in his guilt. Because Hopkins/Henton is guilty of inciting treason, he will probably have bought his freedom in exchange for testifying against Buckingham, or perhaps he was tortured into giving evidence. Either way, Hopkins/Henton's testimony is suspect.
	While Buckingham refuses to name names, his comment that he ""could wish more Christians"" those who sought his downfall is a severe indictment of Wolsey, who occupies the position of highest spiritual authority in the land. Buckingham also says that his accusers ""never knew what truth meant"" - again, if true, this is a terrible sin in a senior churchman. Buckingham's accusations of Wolsey carry particular weight because now that he is about to die, he has nothing to gain from lying and to do so would put his soul in peril of damnation. As if to drive home the guilt of Wolsey and his accomplices, after Buckingham exits, the two Gentlemen remark that if he is innocent, then his accusers will suffer ""curses on their heads.""
	Buckingham's invocation of the story of his father, who died for his loyalty to King Richard III, as a direct parallel to his own story, suggests that like his father, he is indeed loyal. This is backed up by the judgment of the common people and the nobility of his final speeches, which emphasize forgiveness of others and a spiritual readiness to die: ""Commend me to his grace, / And if he speaks of Buckingham, pray tell him / You met him half in heaven."" (lines 86-8).
",Henry VIII
9,Henry VIII: Novel Summary: Act 2 Scene 2,"
	 
Summary
	The Lord Chamberlain is reading a letter from one of his employees. The letter tells how Wolsey's man stole some horses from him that he had purchased on the Lord Chamberlain's behalf, declaring that his master (Wolsey) should have them, rather than a mere subject, or even the king himself. The Lord Chamberlain believes that Wolsey will take everything from the nobles to enrich himself.
	The Dukes of Norfolk and Suffolk enter. Suffolk asks after the king, and the Lord Chamberlain says he is troubled in his conscience because he married his brother's wife (Katherine had been married to Henry's older brother Arthur until Arthur died, when she married Henry). Suffolk privately thinks that it is less a matter of conscience than the king's attraction to another woman (Anne Bullen). Norfolk says this is Wolsey's doing. He is amazed that Wolsey has so efficiently managed to break the alliance between Charles V and King Henry, and to make the King doubt the legality of his marriage of twenty years to his loving and virtuous wife, Katherine.
	The Lord Chamberlain says that people everywhere are talking of this, and that they are sad at the news. He says that Wolsey has engineered the situation in order to arrange a marriage between King Henry and the French king's sister. He predicts that one day, God will open the king's eyes so that he can see Wolsey for who he is. Norfolk and Suffolk agree that Wolsey is too proud.
	Norfolk and Suffolk visit the king, with the aim of distracting him from his sad thoughts. When they find him, he is angry at being disturbed. Then Wolsey comes in with Campeius. The king welcomes Wolsey as ""The quiet of my wounded conscience"" (line 74). Wolsey asks the king to give him and Campeius an hour of private conference. The king abruptly dismisses Norfolk and Suffolk. As they leave, they mutter threateningly about Wolsey.
	Wolsey tells the king that no one could object to his separating from Katherine because the king has consulted all the learned clergy of Christendom, including the Pope, who has sent Campeius as his envoy. The king agrees that Katherine should have the best scholars to argue for her. He asks for Gardiner, his new secretary, who was previously employed by Wolsey, to be sent in. As Gardiner enters, he assures Wolsey, in an aside, that his loyalty is still to him.
	Campeius asks Wolsey about Dr Pace, the man who occupied Gardiner's position before him. Campeius tells Wolsey that there are rumors that Wolsey was envious of him and kept him in foreign posts until he went mad with grief and died. Wolsey dismisses Pace as a virtuous fool.
	The king says that he will go to Blackfriars to announce his decision to leave Katherine. He is sorry to leave ""so sweet a bedfellow,"" but his conscience demands it.
	Analysis
	Wolsey's unscrupulous character is further built on in this scene. The episode where Wolsey is reported to have stolen the Lord Chamberlain's horses reinforces what we have learned about his greed and lack of scruple. There was never anything noble or worthy about a horse-thief. In addition, Campeius's account of Wolsey's keeping the previous royal secretary in foreign posts due to envy backs up Wolsey's reputation as a self-promoting schemer. Even Norfolk, who previously had taken a conciliatory attitude towards Wolsey, has now lost patience with him.
	The king is revealed as deluded. He rudely dismisses Norfolk and Suffolk, who are genuinely interested in his welfare, yet welcomes Wolsey as ""The quiet of my wounded conscience"" and ""a cure fit for a king"" (lines 74-5). This praise of Wolsey has dramatic irony (i.e. the audience/reader spots the irony, but the character who utters it is blind to it) in that we know that it was Wolsey who, for his own ends, first introduced doubts into the king's mind about the legality of his marriage to Katherine.
	In Shakespeare's plays, the question, ""Who am I?"" always has deep significance. When the king utters it (line 66), superficially, he is asking Norfolk and Suffolk how they dare disturb a king, but the question has resonance beyond this. He has wrongly allowed his supreme and God-given authority as king to be encroached upon by Wolsey, who ultimately cares only about himself. At the same time, he dismisses his loyal friends, Suffolk and Norfolk. Thus he has lost sight of who he is.
	Though Campeius has brought the Pope's decision on what Henry can or should do about his marriage, it plays little part in what follows. Henry has already made his decision to divorce Katherine, as is made clear by his speech at the end of the scene.
",Henry VIII
