chapter_title,chapter_summary,book_title,chapters,full_text
Candide: Summary: Chapters 1-2,"Chapter 1
 Voltaire begins his picaresque tale by introducing the characters who live in the castle of Westphalia, a province in western Germany.  Candide, which means optimism, is the first character introduced, and Voltaire explains that he is the Baron's nephew.  Though Candide has respectable parents, he is a bastard by birth, yet still seems to be a part of the noble palace family.  He is said to be honest, simple-hearted and gentle. 
Other members of the palace include the Baron of Thunder-Ten-Tronckh, the head of the castle, and his overweight wife, the Baroness.  Together, the two have Cunegonde, a gorgeous seventeen-year-old princess, a son, and the esteemed palace tutor, Pangloss, who teaches that everything is for the best and that man lives in the ""best of all possible worlds.""
	It seems Dr. Pangloss is quite versed in ""experimental physics,"" for one day Cunegonde spies the tutor ""giving a lesson"" to her mother's ""attractive and obedient"" maidservant in the bushes.  This inspires Cunegonde to yearn to practice this art with Candide.  When the two young lovers do engage in this kind of science, however, they are caught in the act, and Candide is expelled from the castle permanently.
	 
Chapter 2
 In the second chapter, Candide finds himself ""ejected from the earthly paradise"" to which he had grown accustomed.  Drifting to a neighboring village, and now very cold and hungry, he stumbles across two recruiting officers of Frederick the Great standing outside a tavern.  The two men seem enamored by Candide's height of five feet, five inches, and offer to buy him a meal.  Trusting their kindness, Candide is reminded of Pangloss' philosophy, that all is for the best; he thinks that perhaps being exiled from the castle (and from his love, Cunegonde), may ultimately lead him to a better end after all.
	Soon, however, these newfound ""friends"" bind Candide with chains, and force him into the army, where he is beaten daily.  At one point, Candide is at the point of being killed (smashed in the head, as he requested in order to end his own misery) when the King of the Bulgars passes and grants his pardon.
",Candide,Candide: Summary: Chapters 1-2,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 1-2,"Chapter 1: Voltaire begins his picaresque tale by introducing the characters who live in the castle of Westphalia, a province in western Germany.  Candide, which means optimism, is the first character introduced, and Voltaire explains that he is the Baron's nephew.  Though Candide has respectable parents, he is a bastard by birth, yet still seems to be a part of the noble palace family.  He is said to be honest, simple-hearted and gentle. 
	Other members of the palace include the Baron of Thunder-Ten-Tronckh, the head of the castle, and his overweight wife, the Baroness.  Together, the two have Cunegonde, a gorgeous seventeen-year-old princess, a son, and the esteemed palace tutor, Pangloss, who teaches that everything is for the best and that man lives in the ""best of all possible worlds.""
	It seems Dr. Pangloss is quite versed in ""experimental physics,"" for one day Cunegonde spies the tutor ""giving a lesson"" to her mother's ""attractive and obedient"" maidservant in the bushes.  This inspires Cunegonde to yearn to practice this art with Candide.  When the two young lovers do engage in this kind of science, however, they are caught in the act, and Candide is expelled from the castle permanently.
	Chapter 2: In the second chapter, Candide finds himself ""ejected from the earthly paradise"" to which he had grown accustomed.  Drifting to a neighboring village, and now very cold and hungry, he stumbles across two recruiting officers of Frederick the Great standing outside a tavern.  The two men seem enamored by Candide's height of five feet, five inches, and offer to buy him a meal.  Trusting their kindness, Candide is reminded of Pangloss' philosophy, that all is for the best; he thinks that perhaps being exiled from the castle (and from his love, Cuneegonde), may ultimately lead him to a better end after all.
	Soon, however, these newfound ""friends"" bind Candide with chains, and force him into the army, where he is beaten daily.  At one point, Candide is at the point of being killed (smashed in the head, as he requested in order to end his own misery) when the King of the Bulgars passes and grants his pardon.
",Candide,Chapters 1-2,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 3-4,"Chapter 3
Chapter 3 takes place in the midst of a giant battle between the Bulgars and the Abares.  While writing this, Voltaire was probably considering the Seven Years' War (1756-63), which was fought between the French (Abares) and the Prussians (Bulgars).  Here, Voltaire's anti-war sentiments become obvious.  Casually describing the thousands of dead soldiers on both sides, Voltaire underscores how wasteful these ""heroes"" are of human life. 
Candide, his protagonist, hides, doing his best to keep away from the needless bloodshed and ""heroic butchery."" After the battle subsides, he escapes through the battlefield, seeing the ""scattered brains and severed limbs"" that ""littered the ground."" Soon reaching the country of Holland, where he believes everyone is wealthy and Christian, he expects to be treated very well.  He stumbles across a Protestant preacher of sorts who is lecturing on the topic of charity.  Ironically, when the man sees Candide, he attacks the traveler, telling him that he doesn't deserve any bread.  Voltaire, thus, also indicts religion (particularly radical Protestantism in this chapter), which he believed was often hypocritical. 
	Luckily, a man names Jacques befriends Candide, offering him food and shelter.  Candide is elated that such fortune has found him, and he regains his confidence in Pangloss' philosophy.  All seems to be well again. 
Chapter 4
Soon thereafter, Candide takes a walk through the town when he meets a ""ghastly beggar"" who reveals to his pupil that he is Pangloss.  Candide is shocked and horrified to see his teacher in such a state, but immediately asks about his beloved Cunégonde.  When Pangloss explains that she has been killed, Candide passes out.  Upon awakening, he muses, ""Ah, best of worlds, what's become of you now?"" Obviously, Candide's belief in Pangloss' optimistic philosophy is waning, as Voltaire continues his ruthless indictment of Leibniz, Pope and others.
Pangloss, next, begins to explain the events, including the murder of Cunégonde, that occurred at the castle after Candide had been thrown out.  He says that the beautiful Cunégonde was brutally and repeatedly raped by Bulgar soldiers who attacked the family fortress, finally killing both Cunégonde and the rest of her family before destroying the castle.  Yet it seems the Abares were no less hostile to their enemies, as Pangloss notes their similar treatment of a nearby Bulgar castle.
Hearing this, Candide attempts to understand such seemingly needless suffering by asking his teacher about the ""cause and effect"" and the ""sufficient reason"" for such tragedies, specifically his own sorry state.  Pangloss masterfully crafts a brilliant explanation of his disease, which he explains was sexually transmitted from the servant girl, Paquette, to whom the reader may recall he gave ""physics lessons"" in the opening scene.  The doctor gives a detailed, yet brief account of the STD's path, explaining how it transcended through a Franciscan, and Jesuit, and even through the men of Christopher Columbus himself, who received it from the New World natives.  The devil, however, isn't at the root of such a mess, Pangloss asserts, because such suffering is only a small aspect of a larger good.  For example, if Columbus had never sailed to America, chocolate wouldn't exist to tantalize the taste buds of cultured Europeans.
	Fortunately for Pangloss, Jacques, the ""charitable anabaptist,"" pays to cure the teacher of his disease, though the philosopher loses one eye and one ear in the process.  When Jacques confronts Pangloss' systemic philosophy, however, he responds, "".private misfortunes make for public welfare.""
",Candide,Chapters 3-4,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 5-6,"Chapter 5
Traveling to Lisbon on a business trip, Jacques brings along his two philosopher friends, Candide and Pangloss.  A terrifying storm ravishes the sea during the boat trip, destroying the vessel and killing all but three of those on board-Candide, Pangloss, and a ""brutal sailor"" who survives at the expense of the kind Christian, Jacques. 
Once ashore, Candide and his mentor see the awful effects of the Lisbon earthquake, a historical natural disaster which killed over 30,000.  With Candide helping many of the surviving victims of the earthquake, Pangloss ""consoles"" the people with his doctrine of universal reason.  When an Inquisition agent asks the wise philosopher if he believes in original sin or free will, Pangloss asserts that both agree with his theory.
Chapter 6
In this chapter, Candide and Pangloss experience the auto-da-fé, a public ceremony intended to avert future disasters through a demonstration of contrition and self-degradation.  This event, like the earthquake which preceded it, actually occurred in Lisbon during the summer of 1756.
	Also connected with Candide's auto-da-fé is the Inquisition, replete with human sacrifices.  Soon Candide and Pangloss find themselves under the category of human sacrifices, having been arrested for the comical charge that one was talking and the other ""listening with an air of approval."" Though Pangloss is hanged (against auto-da-fé custom), Candide, luckily, is only flogged ""in cadence to the music."" This savage pageantry (of Candide being whipped to the beat of a beautiful song) is used by Voltaire to underscore the intolerance and injustice of the Church through its brutal treatment of innocent victims, like Candide, though it maintains the false exquisiteness of tradition.  It's interesting to note that a second earthquake struck the city only a few hours later (Obviously the auto-da-fé was not successful.).
	All this causes Candide to seriously question the optimistic way of thinking, as he seems to be approaching death before an old woman mysteriously appears to aid him.
",Candide,Chapters 5-6,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 7-8,"Chapter 7
The strange old woman takes Candide to a shanty, where she clothes and feeds him, taking general care of him for a couple of days without the young philosopher even knowing her identity.  Once he has recovered enough to see visitors, the woman leads him to a nearby house where he meets, of all people, Cunégonde. 
His lover is elated to see him, explaining that although she was close to death, she ultimately survived the attacks of the Bulgar soldiers.  Candide also relates his story, which proves quite touching to Cunégonde.
Chapter 8
Chapter 8 is Cunégonde's story-the account of her rape and her family's murder.  Becoming the prisoner-of-war of a certain, ""attractive"" Bulgar captain, she lives in a sort of quasi-bondage for three months, at which time he trades her to a wealthy Jew named Don Issachar.  When the Inquisitor sees Cunégonde at Mass, he immediately threatens the Jew, finally forcing him to agree to turn over his house and Cunégonde, his sex-slave, one-half of the week.  Yet though Cunégonde's servile status is clear, she boasts that she successfully held both of them off.
	Invited to the auto-da-fé as a spectator, Cunégonde soon notices the tutor Pangloss and her lover, Candide.  Seeing the cruelty shown them, she also begins to lose faith in the philosophy of optimism.  Cunégonde quickly instructs her maid, the old woman, to fetch Candide, which she does.
	At the end of the chapter, Don Issachar, the part-time owner of the estate, enters to ""assert his rights and express his tender passion.""
",Candide,Chapters 7-8,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 9-10,"Chapter 9
Seeing what he believes to be another competitor for Cunégonde's love, the Jew attacks Candide, forcing the pupil of optimism to kill him with a sword.  After Issachar's death, Candide wishes that Pangloss were there to give him advice, but settles for the opinion of the old woman in his stead.  Before she can give her counsel, however, the Grand Inquisitor enters for his nightly visit, forcing Candide to kill him as well.  Quickly the old woman details the plan of their escape-that they will take what gold and diamonds they can lay their hands on, and then they should flee the estate on the backs of three horses. 
When the Holy Brotherhood, an organization with both Church and State powers, enters the household to bury their holy Inquisitor and fling Issachar onto a dunghill, the three fugitives are gone.
	In this chapter, Voltaire obviously continues his onslaught of criticism for the Catholic Church, showing the Inquisitor to be nothing more than a worldly womanizer.  He also stereotypes Don Issachar, portraying him as a greedy, selfish money-grubber who hopes to buy himself earthly happiness.

Chapter 10
 Having left an inn where they had stayed the day before, the trio soon realizes that a Franciscan friar, who was also at the inn, must have stolen their gold and diamonds.  To overcome the loss, the old woman suggests, and the others agree, that they should sell one of the horses.
	Eventually they reach Cadiz, a city on the Atlantic coast.  When Candide demonstrates the sign of the Bulgar army, he is made a captain of sorts as he, Cunégonde and the old woman begin their journey to South America.  Candide, obviously still influenced by the optimistic philosophy of his youth, comes to rest on the idea that the New World will be the ""best of all worlds.""
	Yet soon, both Candide and Cunégonde realize that the trials and tribulations of their own lives are not unique or unusual at all when the old woman tells them that their horrors pale in comparison to hers.  She then launches into a lengthy story of her life's misfortunes, making continued allusions to a missing portion of her rear end.
",Candide,Chapters 9-10,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 11-12,"Chapter 11
In this chapter the old woman begins to narrate her own life story.  First, she explains how she was born as the bastard child of Pope Urban XX.  Next, the woman proceeds to boast about her past beauty, as well as about her handsome fiancé who suddenly dies just before their wedding. 
At another time, traveling on a papal ship of sorts, she is attacked by invading pirates who strip everyone aboard, fondling the women in the process.  It's interesting to see how Voltaire even uses this woman in his ongoing indictment of the Church.  Though the ship is supposedly defended by papal bodyguards, the old woman doesn't seem to have too high of a regard for them, as she explains the incident: ""Our soldiers defended themselves as papal troops usually do; falling on their knees and throwing down their arms..""
	Used as a personal slave by the African captain, who takes her virginity, the woman, along with her mother and chambermaids, is taken to Morocco to be sold.  When they arrive, they find themselves in the middle of a bloody civil war, which soon claims the lives of everyone except the woman.  With much effort, she manages to drag herself to a nearby stream, where she is approached by an Italian man who sees her beauty and groans about having lost his testicles.
	Voltaire, besides indicting the Roman Catholic Church, also criticizes Islam in this chapter.  The woman subtlety notes how the disciples of Muhammad scrupulously took time out of killing each other to say their five daily prayers mandated by their religion.  Other themes seen in this chapter center around war and man's cruelty to his fellow man.  Voltaire is strongly anti-war, obviously, showing it to be a needless slaughter of human life. 

Chapter 12
The old woman continues her story, as she explains how the kind man cares for her.  Soon, however, the man, who at one time worked as a court singer to the Princess of Palestrina-the woman's mother-shows he cannot be trusted.  For instead of bringing her back to Italy as he promised, he instead sells her in Algiers.  Through this ordeal, she comes down with the plague.  Though she survives, she's sold and resold as a slave to countless merchants and traders.  At one point her captors, facing starvation, even remove one of her buttocks for food.  Finally she ends up as a servant to Don Issachar, the Jew who also buys Cunégonde at a later date.  Finishing her story, she concludes with the thesis with which she began: she is the most miserable of human beings.
",Candide,Chapters 11-12,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 13-14,"Chapter 13
 As the story returns to the present, Candide and Cunégonde agree with the woman that she has suffered more than anyone else on the ship.  Next, Candide muses to himself, oddly enough, that he wishes Pangloss were present so that he could ""politely"" object to his master's optimistic philosophy.  This brief admission is very significant, for it marks a serious change in Candide's already shifting belief in optimism.
After reaching Buenos Aires, Candide and company quickly encounter the governor, Don Fernando d'Ibaraa y Figueoa y Mascarenes y Campourdos y Souza.  Voltaire purposefully exaggerates his name in order to satirize the man, and the presumptuousness of the nobility in general.  It soon becomes evident that the governor, as expected, is rude and arrogant, as he aggressively pursues Cunégonde's hand in marriage after merely seeing the girl's beauty.
Startled by the sudden arrival of the police, hot on Candide's trail, the old woman urges Cunégonde to earn a life of luxury by marrying the governor.
Chapter 14
 In this chapter, the reader, for the first time, meets Cacambo, a servant/friend of sorts to Candide who has come from Spain.  Fleeing the authorities who are in the process of boarding the ship, Candide and Cacambo hurriedly flee to Paraguay, though Candide regrets having to leave his lover behind. 
	As they enter the country, Cacambo explains to Candide that Paraguay is owned and run by the Jesuits, Los Padres.  According to Camambo, Paraguay is a utopia.  Los Padres are reasonable and just, though they are at war with the Spaniards in this hemisphere and ""send them to heaven"" in Europe.  Here, obviously, Voltaire satirizes the Jesuits for their hypocritical and corrupt religious war, as they slaughter in the New World the very people they baptize and bury in the Old World.
	As Candide and his servant enter a Jesuit outpost of some kind, the guards arrest the pair, treating them almost as prisoners.  When they realize that Candide is German, however, the soldiers quickly change their tune, instead treating Candide and his friend like royalty.  Having been taken to their commander, Candide soon realizes that this man is the baron's son, Cun�gonde's brother, who was reportedly killed by the Bulgars.
",Candide,Chapters 13-14,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 15-16,"Chapter 15
The commander, Cunégonde's brother, also referred to by Voltaire as the baron, explains to Candide the events following the Bulgar invasion.  Though his parents were killed and his sister raped, he was befriended by a Jesuit priest, who sent him to Rome, and eventually to Paraguay, letting him serve both the church and the state as a colonel and priest.
Candide and the baron seem to be getting along fine until Candide mentions his desire to marry Cunégonde.  Hearing this, the commander immediately scoffs and even threatens the young philosopher, and a sword fight quickly ensues.  Candide kills his future brother-in-law, and Cacambo, waiting nearby, organizes a fast escape for himself and his master.
	 
Chapter 16
Volaire's 16th chapter is definitely one of his most interesting.  Now in the wilderness of South America, Candide and Cacambo hear the screams of two young women nearby.  Investigating further, they realize that two monkeys are chasing the girls, who run naked.  Lifting his rifle, Candide kills both animals, believing that he has saved the two young girls.  Shocked, he sees the girls turn around, coming back to embrace the monkeys with whom they had frolicked.  Cacambo tries to explain all of this to his master, saying that these women are ignorant of the reason of Europe, and thus engage in the irrational, carnal pleasures of life. 
	Waking up from their sleep a few hours later, Candide and his valet find themselves tied with vines and surrounded by forest natives called Biglugs (Orejones in Spanish).  Apparently the two girls had told their people about the shooting of their lovers, and these Indians found the culprits as they slept. 
	Luckily, the shrewd Cacambo, who even knows some of the local language, speaks to the captors brilliantly about how he and his master are not their Jesuit enemies, but indeed friends.  Hearing this, the natives release their two prisoners, wishing them well.  Candide is elated that his life is spared, even asserting that these people, uncorrupted by civilization, are the best people in the world.  This theory that nature is utopian was taught to him earlier by Pangloss.
",Candide,Chapters 15-16,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
Candide: Novel Summary: Chapters 17-18,"Chapter 17
 In this chapter the reader is introduced to the most genuine description of utopia in the novel-Eldorado.  Letting a river guide them, they accidentally (or perhaps providentially) end up in the land of gold and jewels.  Candide thinks to himself that surely this is the best of all possible worlds, as his teacher always said really did exist.
Chapter 18
 Having been taken to an old man's home, Candide and Cacambo are told the history of El Dorado, which was at one time part of the Inca empire.  Soon they begin discussing religion, and Candide is relieved to know that the people of this land worship a single deity.  Though they don't pray to this god (since there's nothing for which to pray), they do thank Him in everything they do.  Everyone is a priest, the man explains; there is no need for monks or other church officials since this world is a utopia.
	Tooled with several red sheep to haul their carriage, Candide and his servant go to the king's castle.  Touring the capital, they realize that there are no government institutions, no prisons and no need for lawyers. 
	Having spent a month in this place, both Candide and his friend being to grow restless, and Candide in particular greatly misses his lovely Cungonde.  The two, thus, make plans to leave the place, taking with them enough golden pebbles to make them the richest men alive in their former world.
",Candide,Chapters 17-18,"9    CandidebyVoltaire\r\n\r\neditions, all of whic...
Name: full_text, dtype: object"
